Estado,SSA,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEDEMAR,OTRAS
Aguascalientes,1202,637,326,0,0,0,0,0,83
Baja California,1444,4680,405,71,0,0,27,1,362
Baja California Sur,360,812,81,0,0,0,10,8,0
Campeche,881,369,126,69,38,4,1,34,54
Coahuila,871,5547,2351,111,6,0,4,0,638
Colima,523,307,11,0,0,0,18,3,8
Chiapas,2740,2881,1281,633,0,2,15,17,184
Chihuahua,1157,5495,561,109,0,0,0,0,1098
Distrito Federal,10413,3902,9793,0,0,110,809,151,938
Durango,1407,3585,1836,136,0,0,73,0,12
Guanajuato,5699,4371,396,0,0,14,67,0,46
Guerrero,4495,2549,2071,0,0,0,7,92,26
Hidalgo,2097,690,248,378,0,25,2,0,35
Jalisco,4542,7298,436,0,195,4,176,49,4667
México,9137,7711,2932,0,1814,1,175,0,1782
Michoacán,3064,1850,1236,570,0,0,0,13,0
Morelos,1659,2277,1857,0,0,0,0,0,0
Nayarit,779,508,948,77,94,0,20,1,9
Nuevo León,2811,2911,462,0,0,6,21,0,2982
Oaxaca,2396,678,957,659,6,62,514,46,44
Puebla,2433,4642,1674,368,27,6,28,0,815
Querétaro,1169,1925,38,0,0,0,0,0,18
Quintana Roo,510,260,318,0,0,0,8,20,0
San Luis Potosi,1650,3636,752,392,0,6,60,0,31
Sinaloa,1835,2462,300,120,372,2,92,43,1052
Sonora,2277,2787,4,0,0,0,195,29,489
Tabasco,1924,1345,589,0,0,37,90,20,560
Tamaulipas,2361,4703,910,189,0,65,29,28,83
Tlaxcala,895,640,219,0,0,0,0,0,1
Veracruz,5169,4761,405,923,128,315,141,68,2
Yucatán,973,3488,314,327,50,0,0,0,160
Zacatecas,1125,1048,264,294,106,0,1,0,1
