Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS
Aguascalientes,1 217,1 098,51,0,16,0,60,0,359
Baja California,2 562,4 369,516,42,0,0,38,0,578
Baja California Sur,609,428,69,0,0,0,26,2,0
Campeche,777,293,178,99,18,1,31,15,11
Coahuila,1 071,4 573,2 704,171,72,0,38,0,769
Colima,501,644,31,0,0,0,12,0,16
Chiapas,2 997,1 665,988,720,0,50,176,3,192
Chihuahua,1 882,4 027,394,108,0,0,21,0,1 759
Distrito Federal,10 252,4 448,8 041,0,172,68,399,65,401
Durango,978,2 173,1 765,206,0,0,8,0,86
Guanajuato,6 455,4 565,680,26,0,13,14,0,388
Guerrero,4 629,2 207,1 214,64,0,0,13,53,5
Hidalgo,2 186,725,423,316,0,55,28,0,43
Jalisco,4 890,9 602,1 052,13,212,8,98,0,5 163
México,10 540,10 054,2 554,28,2 904,0,399,0,1 774
Michoacán,2 708,1 818,1 468,641,0,0,64,7,0
Morelos,1 764,2 634,1 692,3,0,0,187,0,0
Nayarit,931,484,712,51,133,0,0,3,6
Nuevo León,1 889,3 679,237,6,0,16,55,0,2 645
Oaxaca,3 684,1 375,1 122,851,46,60,144,38,85
Puebla,3 074,5 326,1 280,701,148,17,22,0,783
Querétaro,1 170,1 229,119,10,13,0,0,0,86
Quintana Roo,502,374,128,0,0,0,27,7,0
San Luis Potosí,2 467,2 829,575,459,0,1,142,0,219
Sinaloa,3 891,2 532,322,104,273,3,183,12,601
Sonora,1 505,2 616,252,85,0,0,120,56,84
Tabasco,2 529,932,240,0,0,125,72,23,347
Tamaulipas,3 591,3 927,804,184,41,92,31,13,80
Tlaxcala,911,648,275,4,2,0,11,0,0
Veracruz,6 132,3 234,252,1 240,310,290,137,170,0
Yucatán,1 583,2 320,689,667,9,0,0,2,113
Zacatecas,1 084,624,230,329,136,0,0,0,4
