Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras
Aguascalientes,1 070,580,95,N.A.,10,N.A.,109,N.A.,295
Baja California,2 495,3 320,333,38,N.A.,N.A.,42,2,439
Baja California Sur,629,579,142,N.A.,N.A.,N.A.,6,2,N.A.
Campeche,811,528,159,114,18,0,3,15,0
Coahuila,896,4 539,1 649,236,67,N.A.,17,N.A.,916
Colima,548,612,24,N.A.,5,N.A.,7,45,53
Chiapas,3 480,2 481,1 162,640,N.A.,39,68,1,235
Chihuahua,2 107,4 651,423,107,N.A.,N.A.,100,N.A.,1 946
Distrito Federal,9 499,5 076,6 668,130,194,49,722,177,536
Durango,799,2 169,977,259,0,N.A.,29,N.A.,143
Guanajuato,4 582,3 553,487,22,N.A.,12,40,N.A.,400
Guerrero,4 553,2 708,1 177,30,N.A.,N.A.,54,1,0
Hidalgo,2 063,736,563,319,0,67,14,N.A.,105
Jalisco,5 635,7 022,1 774,12,210,3,70,13,5 549
México,11 971,9 885,1 875,8,3 922,N.A.,484,N.A.,2 032
Michoacán,2 504,1 930,2 501,666,N.A.,N.A.,0,20,N.A.
Morelos,1 739,3 177,1 712,3,N.A.,N.A.,154,N.A.,N.A.
Nayarit,892,283,766,90,94,N.A.,0,0,23
Nuevo León,2 097,4 166,160,5,1,27,63,N.A.,2 891
Oaxaca,3 330,1 223,1 425,977,82,59,83,51,57
Puebla,2 672,4 375,1 583,643,120,6,9,N.A.,732
Querétaro,1 117,1 172,176,3,14,N.A.,N.A.,N.A.,88
Quintana Roo,538,649,190,N.A.,N.A.,N.A.,23,2,N.A.
San Luis Potosí,2 712,2 539,502,530,N.A.,3,38,N.A.,100
Sinaloa,4 215,2 869,289,147,300,2,148,23,1 056
Sonora,1 188,3 205,351,86,N.A.,N.A.,76,8,113
Tabasco,2 627,893,276,N.A.,N.A.,210,37,25,996
Tamaulipas,3 877,3 799,1 092,181,2,117,26,0,69
Tlaxcala,971,713,336,6,15,N.A.,1,N.A.,18
Veracruz,6 494,5 341,259,1 188,330,219,136,164,N.A.
Yucatán,1 612,2 765,588,532,10,N.A.,0,1,94
Zacatecas,1 156,712,196,328,122,N.A.,1,N.A.,38
