Estado ,Salud ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras
Aguascalientes ,  980 ,  782 ,  198 ,S/R ,  11 ,S/R ,  64 ,S/R ,  89
Baja California , 2 364 , 3 893 ,  362 ,  65 ,S/R ,S/R ,  13 ,  0 ,  529
Baja California Sur ,  321 ,  772 ,  80 ,S/R ,S/R ,S/R ,  0 ,  5 ,S/R
Campeche ,  738 ,  384 ,  144 ,  119 ,  16 ,  4 ,  2 ,  16 ,  13
Coahuila , 1 124 , 4 452 , 1 072 ,  311 ,  6 ,S/R ,  16 ,S/R , 2 698
Colima ,  533 ,  488 ,  30 ,S/R ,  1 ,S/R ,  0 ,  13 ,  38
Chiapas , 3 206 , 1 591 , 1 299 ,  953 ,S/R ,  61 ,  7 ,  21 ,  0
Chihuahua , 2 619 , 5 585 ,  571 ,  179 ,S/R ,S/R ,  239 ,S/R , 2 511
Distrito Federal , 7 095 , 5 775 , 5 082 ,  33 ,  374 ,  134 ,  340 ,  52 ,  864
Durango ,  618 , 1 982 , 1 141 ,  193 ,  1 ,S/R ,  15 ,S/R ,  158
Guanajuato , 4 810 , 4 849 ,  346 ,  11 ,S/R ,  17 ,  144 ,S/R ,  633
Guerrero , 3 559 , 2 167 , 1 944 ,  57 ,S/R ,S/R ,  9 ,  6 ,S/R
Hidalgo , 2 313 , 1 032 ,  878 ,  360 ,  0 ,  48 ,  5 ,S/R ,  16
Jalisco , 4 203 , 7 935 ,  736 ,  21 ,  102 ,  28 ,  17 ,  4 , 4 514
México , 13 715 , 11 350 , 2 940 ,  16 , 3 084 ,S/R ,  231 ,S/R , 2 486
Michoacán , 2 551 , 2 720 , 2 246 ,  651 ,S/R ,S/R ,  0 ,  13 ,S/R
Morelos , 1 810 , 3 444 , 1 640 ,  20 ,S/R ,S/R ,  37 ,S/R ,S/R
Nayarit ,  649 ,  499 ,  753 ,  67 ,  20 ,S/R ,  0 ,  49 ,  46
Nuevo León , 1 557 , 5 154 ,  195 ,  2 ,S/R ,  76 ,  48 ,S/R , 3 411
Oaxaca , 3 395 , 1 501 , 1 161 , 1 084 ,  67 ,  80 ,  142 ,  49 ,  75
Puebla , 2 187 , 4 077 , 2 344 ,  732 ,  499 ,  86 ,  2 ,S/R ,  632
Querétaro , 1 276 , 1 224 ,  305 ,  20 ,  25 ,S/R ,  39 ,S/R ,  67
Quintana Roo ,  706 ,  712 ,  635 ,S/R ,S/R ,S/R ,  30 ,  8 ,S/R
San Luis Potosí , 2 223 , 2 806 ,  972 ,  721 ,S/R ,  2 ,  37 ,S/R ,  52
Sinaloa , 4 171 , 2 736 ,  362 ,  101 ,  270 ,  5 ,  3 ,  18 , 1 030
Sonora , 1 147 , 3 245 ,  508 ,  6 ,S/R ,S/R ,  43 ,  5 ,  55
Tabasco , 2 111 , 1 505 ,  529 ,S/R ,S/R ,  433 ,  6 ,  8 ,  520
Tamaulipas , 2 591 , 3 626 , 1 086 ,  154 ,  0 ,  225 ,  44 ,  85 ,  73
Tlaxcala ,  849 ,  874 ,  488 ,  4 ,  1 ,S/R ,  3 ,S/R ,  26
Veracruz , 4 708 , 5 838 ,  981 , 1 735 ,  74 ,  295 ,  123 ,  244 ,S/R
Yucatán , 1 469 , 2 881 ,  617 ,  323 ,  38 ,S/R ,  0 ,  0 ,  251
Zacatecas , 1 167 , 1 084 ,  132 ,  334 ,  64 ,S/R ,  0 ,S/R ,  11
