Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,DIF,PEMEX,SEDENA,SEMAR,Otras
Aguascalientes,1 284,926,961,S.R.,11,S.R.,0,S.R.,1 148
Baja California,3 347,4 347,573,72,S.R.,S.R.,9,14,775
Baja California Su,767,445,118,S.R.,S.R.,S.R.,2,1,S.R.
Campeche,696,346,104,138,0,39,0,14,18
Coahuila,1 041,2 417,3 271,313,123,S.R.,1,S.R.,999
Colima,409,457,3,S.R.,5,S.R.,3,4,42
Chiapas,3 118,2 093,1 456,1 019,S.R.,14,9,20,169
Chihuahua,3 438,4 012,699,184,S.R.,S.R.,91,S.R.,2 570
Distrito Federal,6 498,4 042,3 654,34,150,174,289,89,834
Durango,662,1 699,1 575,243,0,S.R.,11,0,412
Guanajuato,4 447,2 615,471,55,S.R.,65,124,S.R.,423
Guerrero,3 509,1 903,1 651,164,S.R.,S.R.,45,44,0
Hidalgo,3 113,988,1 031,549,0,76,0,S.R.,25
Jalisco,3 838,6 391,2 083,28,42,12,93,2,4 938
México,17 423,6 642,4 141,110,2 664,S.R.,258,S.R.,3 346
Michoacán,2 104,1 926,1 810,924,S.R.,S.R.,3,14,S.R.
Morelos,1 452,2 829,1 422,15,S.R.,S.R.,22,S.R.,S.R.
Nayarit,671,513,1 221,178,40,S.R.,0,2,29
Nuevo León,2 054,4 937,336,17,S.R.,67,55,S.R.,1 351
Oaxaca,3 117,1 036,1 944,1 566,79,89,20,24,114
Puebla,3 431,3 118,971,983,87,31,15,S.R.,747
Querétaro,1 664,1 074,256,6,3,S.R.,2,S.R.,212
Quintana Roo,930,612,163,S.R.,S.R.,S.R.,1,0,0
San Luis Potosí,2 651,2 316,1 010,885,S.R.,13,37,S.R.,154
Sinaloa,6 340,2 428,436,269,220,3,0,22,838
Sonora,1 805,3 297,547,12,S.R.,S.R.,4,12,206
Tabasco,2 181,1 665,540,S.R.,S.R.,229,28,7,375
Tamaulipas,3 118,2 912,1 869,222,3,213,22,78,91
Tlaxcala,724,886,446,38,200,S.R.,4,S.R.,0
Veracruz,5 116,6 111,2 140,1 611,92,484,177,301,60
Yucatán,1 155,1 336,549,382,16,S.R.,71,0,81
Zacatecas,1 090,677,120,477,80,S.R.,20,S.R.,169
