Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS
Aguascalientes,2 209,1 776,273,0,0,0,20,0,109
Baja California,4 337,6 581,567,25,0,0,61,5,908
Baja California Sur,690,915,154,0,0,0,191,0,0
Campeche,1 455,661,317,142,50,5,187,59,521
Coahuila,2 128,7 585,5 528,339,0,0,20,0,820
Colima,1 069,981,45,0,3,0,3,17,61
Chiapas,5 866,2 968,2 587,905,0,150,286,5,529
Chihuahua,2 021,6 568,472,251,0,0,60,0,3 020
Distrito Federal,16 818,7 900,13 489,0,324,175,1 000,55,841
Durango,2 770,3 785,5 646,282,0,0,66,0,144
Guanajuato,8 370,8 445,992,49,0,29,93,0,842
Guerrero,7 496,3 375,2 599,110,0,0,12,172,0
Hidalgo,3 170,1 379,586,606,0,50,78,0,111
Jalisco,7 501,15 482,834,96,238,25,145,5,9 500
México,15 595,13 460,5 065,15,4 896,364,648,0,4 977
Michoacán,4 652,2 606,1 239,583,0,0,104,20,0
Morelos,2 879,3 472,3 415,16,0,0,200,0,0
Nayarit,1 351,1 011,1 477,117,176,0,6,0,28
Nuevo León,2 815,5 428,475,0,0,58,153,0,4 587
Oaxaca,5 258,1 826,2 092,1 148,55,105,271,81,224
Puebla,5 146,10 075,2 965,796,124,11,24,0,1 509
Querétaro,1 912,2 292,162,6,6,0,0,0,91
Quintana Roo,667,413,460,0,0,0,33,0,0
San Luis Potosí,4 349,4 824,1 215,758,0,0,447,0,138
Sinaloa,4 825,3 949,487,183,617,10,389,167,1 889
Sonora,4 150,4 348,771,64,0,0,176,54,84
Tabasco,3 939,1 177,418,0,0,250,138,20,1 034
Tamaulipas,4 839,5 575,1 155,202,10,227,162,1,162
Tlaxcala,1 591,1 196,506,0,2,0,189,0,0
Veracruz,8 503,4 791,615,1 955,422,486,234,115,0
Yucatán,2 303,2 779,1 472,769,3,0,14,0,554
Zacatecas,1 707,1 225,349,464,100,0,9,0,1
