Estado,Salud,IMSS-Ord ,ISSSTE ,IMSS-Op ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras
Aguascalientes, 1 754 , 1 060 ,  311 ,S/R ,  47 ,S/R ,  0 ,S/R , 2 271
Baja California, 4 273 , 7 963 ,  898 ,  172 ,S/R ,S/R ,  8 ,  18 , 1 541
Baja California Sur,  578 , 1 066 ,  155 ,S/R ,S/R ,S/R ,  17 ,  8 ,S/R
Campeche, 1 212 ,  582 ,  288 ,  178 ,  15 ,  13 ,  1 ,  23 ,  14
Coahuila, 1 034 , 7 256 , 2 117 ,  361 ,  4 ,S/R ,  62 ,S/R , 2 967
Colima,  833 ,  739 ,  30 ,S/R ,  2 ,S/R ,  31 ,  21 ,  55
Chiapas, 4 701 , 3 391 , 3 015 , 1 187 ,S/R ,  167 ,  1 ,  31 ,  348
Chihuahua, 4 289 , 9 343 , 1 062 ,  313 ,S/R ,S/R ,  39 ,S/R , 3 985
Distrito Federal, 11 350 , 10 051 , 9 553 ,  4 ,  346 ,  235 ,  408 ,  48 , 1 299
Durango, 1 363 , 3 367 , 3 210 ,  276 ,  0 ,S/R ,  4 ,S/R ,  332
Guanajuato, 8 031 , 5 996 ,  750 ,  31 ,S/R ,  112 ,  99 ,S/R , 1 039
Guerrero, 5 493 , 3 314 , 4 142 ,  95 ,S/R ,S/R ,  74 ,  105 ,S/R
Hidalgo, 3 326 , 1 898 , 1 081 ,  677 ,  0 ,  96 ,  0 ,S/R ,  51
Jalisco, 7 401 , 13 069 , 3 224 ,  16 ,  106 ,  74 ,  51 ,  3 , 7 255
México, 23 694 , 17 126 , 6 032 ,  17 , 4 968 ,S/R ,  899 ,S/R , 4 918
Michoacán, 3 510 , 4 725 , 5 496 , 1 260 ,S/R ,S/R ,  0 ,  28 ,S/R
Morelos, 2 451 , 4 970 , 2 299 ,  25 ,S/R ,S/R ,  63 ,S/R ,S/R
Nayarit,  948 ,  958 , 1 496 ,  77 ,  42 ,S/R ,  0 ,  28 ,  46
Nuevo León, 2 840 , 8 429 ,  606 ,  23 ,S/R ,  111 ,  52 ,S/R , 3 908
Oaxaca, 6 250 , 2 338 , 2 768 , 1 527 ,  83 ,  150 ,  15 ,  3 ,  53
Puebla, 3 484 , 6 343 , 3 690 , 1 423 ,  140 ,  130 ,  0 ,S/R , 1 372
Querétaro, 2 741 , 1 899 ,  589 ,  11 ,  134 ,S/R ,  75 ,S/R ,  71
Quintana Roo, 1 009 , 1 308 ,  682 ,S/R ,S/R ,S/R ,  9 ,  6 ,S/R
San Luis Potosí, 3 850 , 4 691 , 1 816 , 1 163 ,S/R ,  12 ,  90 ,S/R ,  124
Sinaloa, 6 181 , 5 001 ,  598 ,  274 ,  396 ,  2 ,  4 ,  37 , 1 311
Sonora, 2 186 , 6 423 ,  833 ,  8 ,S/R ,S/R ,  10 ,  45 ,  259
Tabasco, 2 843 , 3 017 ,  794 ,S/R ,S/R ,  380 ,  37 ,  6 ,  689
Tamaulipas, 3 759 , 5 993 , 4 246 ,  282 ,  0 ,  344 ,  11 ,  44 ,  53
Tlaxcala, 1 221 , 1 467 , 1 163 ,  69 ,  0 ,S/R ,  0 ,S/R ,  38
Veracruz, 7 189 , 10 134 , 2 602 , 2 164 ,  64 ,  941 ,  122 ,  733 ,  5
Yucatán, 1 710 , 4 233 , 1 397 ,  500 ,  50 ,S/R ,  0 ,  1 ,  490
Zacatecas, 1 490 , 1 734 ,  292 ,  598 ,  60 ,S/R ,  0 ,S/R ,  100
