Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS
Aguascalientes,2095,526,684,0,0,0,0,0,67
Baja California,1106,3717,235,12,0,0,6,0,229
Baja California Sur,275,517,142,0,0,0,8,7,0
Campeche,339,190,167,37,6,9,20,27,13
Coahuila,507,3439,1871,73,0,0,0,0,491
Colima,299,353,15,0,0,0,8,1,14
Chiapas,1301,1730,689,256,0,11,80,3,220
Chihuahua,611,3865,215,49,0,0,0,0,650
Distrito Federal,5727,3172,5570,0,48,108,403,50,666
Durango,774,1604,1519,105,0,0,9,0,17
Guanajuato,1808,4728,421,0,0,31,24,0,86
Guerrero,2240,1671,1587,0,0,0,31,72,0
Hidalgo,1014,679,302,152,0,20,10,0,63
Jalisco,2735,7889,368,0,77,31,135,0,3827
México,4455,6061,2352,0,1513,110,509,0,2420
Michoacán,1459,1080,643,270,0,0,0,3,0
Morelos,899,1466,1782,0,0,0,0,0,0
Nayarit,510,493,614,62,91,0,14,0,19
Nuevo León,1416,2227,232,0,0,15,31,0,1570
Oaxaca,1119,729,1115,310,0,58,136,25,48
Puebla,1830,3651,1117,185,18,4,8,0,806
Querétaro,679,1253,58,0,3,0,0,0,25
Quintana Roo,212,146,209,0,0,0,7,3,0
San Luis Potosí,1218,2207,386,245,0,0,145,0,12
Sinaloa,1190,2180,174,59,180,12,229,32,1089
Sonora,1159,2002,94,2,0,0,79,9,596
Tabasco,1316,924,148,0,0,69,75,3,260
Tamaulipas,1451,3026,650,200,0,101,18,2,16
Tlaxcala,461,464,168,0,0,0,29,0,1
Veracruz,2442,2627,270,509,57,229,50,16,0
Yucatán,574,1882,222,169,3,0,0,0,327
Zacatecas,536,936,156,169,20,0,10,0,3
