Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,Otras
Aguascalientes,558,426,75,N.A.,10,N.A.,206,N.A.,206
Baja California,1 698,2 641,238,83,N.A.,N.A.,15,1,301
Baja California Sur,331,652,98,N.A.,N.A.,N.A.,1,32,N.A.
Campeche,336,223,85,23,3,0,9,10,13
Coahuila,408,2 914,938,169,0,N.A.,10,N.A.,875
Colima,374,558,18,N.A.,1,N.A.,8,29,71
Chiapas,1 658,1 160,971,311,N.A.,65,3,5,77
Chihuahua,1 445,3 268,314,74,N.A.,N.A.,10,N.A.,1 408
Distrito Federal,4 757,3 800,4 310,11,140,58,543,53,544
Durango,388,1 339,566,130,0,N.A.,8,N.A.,101
Guanajuato,2 930,2 185,340,6,N.A.,11,61,N.A.,443
Guerrero,1 980,1 808,1 344,18,N.A.,N.A.,21,0,N.A.
Hidalgo,1 270,827,435,150,0,43,1,N.A.,20
Jalisco,3 159,5 175,1 034,8,56,19,73,1,4 405
México,7 498,6 982,2 196,3,1 457,N.A.,136,N.A.,1 765
Michoacán,1 327,1 642,1 784,327,N.A.,N.A.,0,4,N.A.
Morelos,1 033,1 689,1 541,6,N.A.,N.A.,55,N.A.,N.A.
Nayarit,510,343,458,49,42,N.A.,0,0,12
Nuevo León,1 194,3 491,164,1,N.A.,47,42,N.A.,1 568
Oaxaca,2 183,894,818,455,50,52,118,25,21
Puebla,1 302,3 055,1 521,239,655,110,3,N.A.,584
Querétaro,632,805,142,3,20,N.A.,9,N.A.,38
Quintana Roo,428,566,188,N.A.,N.A.,N.A.,3,4,N.A.
San Luis Potosí,1 441,1 740,419,286,N.A.,1,10,N.A.,42
Sinaloa,2 714,2 013,261,81,235,0,75,14,831
Sonora,778,2 288,280,13,N.A.,N.A.,13,3,53
Tabasco,1 240,753,310,N.A.,N.A.,161,5,6,775
Tamaulipas,1 620,2 362,581,82,0,191,5,0,41
Tlaxcala,611,600,347,0,4,N.A.,10,N.A.,50
Veracruz,2 856,3 871,296,579,87,238,52,108,N.A.
Yucatán,725,1 946,450,286,1,N.A.,0,0,233
Zacatecas,646,633,143,176,30,N.A.,0,N.A.,15
