Estado ,Salud ,IMSS-ORD ,ISSSTE ,IMSS-OP ,DIF ,PEMEX ,SEDENA ,SEMAR ,Otras
Aguascalientes ,  578 ,  564 ,  175 ,S/R ,  15 ,S/R ,  58 ,S/R ,  84
Baja California , 1 666 , 3 295 ,  285 ,  64 ,S/R ,S/R ,  14 ,  0 ,  515
Baja California Sur ,  248 ,  725 ,  70 ,S/R ,S/R ,S/R ,  0 ,  12 ,S/R
Campeche ,  356 ,  327 ,  85 ,  69 ,  8 ,  2 ,  4 ,  11 ,  10
Coahuila ,  500 , 3 163 ,  755 ,  143 ,  5 ,S/R ,  16 ,S/R , 2 067
Colima ,  386 ,  489 ,  23 ,S/R ,  0 ,S/R ,  0 ,  8 ,  27
Chiapas , 1 508 , 1 378 , 1 004 ,  402 ,S/R ,  84 ,  5 ,  11 ,  0
Chihuahua , 1 741 , 4 082 ,  392 ,  74 ,S/R ,S/R ,  136 ,S/R , 1 507
Distrito Federal , 4 740 , 4 734 , 4 320 ,  15 ,  173 ,  106 ,  202 ,  30 ,  792
Durango ,  398 , 1 466 ,  835 ,  88 ,  0 ,S/R ,  7 ,S/R ,  127
Guanajuato , 2 904 , 3 817 ,  260 ,  12 ,S/R ,  18 ,  66 ,S/R ,  457
Guerrero , 1 989 , 1 708 , 1 497 ,  22 ,S/R ,S/R ,  7 ,  5 ,S/R
Hidalgo , 1 259 ,  948 ,  788 ,  173 ,  0 ,  53 ,  6 ,S/R ,  16
Jalisco , 2 605 , 6 935 ,  507 ,  7 ,  35 ,  15 ,  8 ,  1 , 3 505
México , 8 562 , 8 887 , 2 110 ,  3 , 1 739 ,S/R ,  185 ,S/R , 2 477
Michoacán , 1 493 , 2 256 , 1 898 ,  389 ,S/R ,S/R ,  0 ,  3 ,S/R
Morelos , 1 014 , 2 383 , 1 567 ,  12 ,S/R ,S/R ,  40 ,S/R ,S/R
Nayarit ,  466 ,  472 ,  534 ,  39 ,  32 ,S/R ,  0 ,  41 ,  26
Nuevo León ,  970 , 4 407 ,  179 ,  4 ,S/R ,  84 ,  33 ,S/R , 2 774
Oaxaca , 1 916 , 1 267 ,  974 ,  490 ,  22 ,  81 ,  148 ,  14 ,  58
Puebla , 1 194 , 3 087 , 1 703 ,  328 ,  488 ,  47 ,  1 ,S/R ,  544
Querétaro ,  792 , 1 061 ,  177 ,  5 ,  46 ,S/R ,  23 ,S/R ,  43
Quintana Roo ,  409 ,  629 ,  504 ,S/R ,S/R ,S/R ,  10 ,  3 ,S/R
San Luis Potosí , 1 311 , 2 274 ,  711 ,  392 ,S/R ,  4 ,  25 ,S/R ,  32
Sinaloa , 2 576 , 2 263 ,  294 ,  77 ,  193 ,  5 ,  3 ,  49 ,  733
Sonora ,  703 , 2 615 ,  292 ,  1 ,S/R ,S/R ,  22 ,  13 ,  33
Tabasco , 1 085 , 1 364 ,  466 ,S/R ,S/R ,  374 ,  6 ,  7 ,  476
Tamaulipas , 1 394 , 2 863 ,  769 ,  102 ,  0 ,  178 ,  19 ,  25 ,  52
Tlaxcala ,  524 ,  725 ,  418 ,  2 ,  0 ,S/R ,  3 ,S/R ,  40
Veracruz , 2 210 , 4 543 ,  654 ,  630 ,  28 ,  265 ,  62 ,  158 ,S/R
Yucatán ,  762 , 2 002 ,  472 ,  136 ,  7 ,S/R ,  0 ,  2 ,  600
Zacatecas ,  641 ,  854 ,  145 ,  161 ,  18 ,S/R ,  0 ,S/R ,  17
