Estado,Salud,IMSS-Ord,ISSSTE,IMSS-Op,"Institución                                                                                           
DIF",PEMEX,SEDENA,SEMAR,Otras
Aguascalientes,703,580,387,S.R.,2,S.R.,1,S.R.,902
Baja California,2 293,3 824,410,85,S.R.,S.R.,4,3,709
Baja California Sur,323,449,56,S.R.,S.R.,S.R.,1,1,S.R.
Campeche,450,237,123,76,1,30,2,13,1
Coahuila,285,1 614,2 971,114,3,S.R.,2,S.R.,642
Colima,388,357,11,S.R.,5,S.R.,1,4,45
Chiapas,1 788,1 578,1 189,401,S.R.,28,64,12,83
Chihuahua,1 722,3 496,442,102,S.R.,S.R.,37,S.R.,1 483
Distrito Federal,5 722,3 331,3 577,9,94,134,145,45,752
Durango,500,1 331,1 439,154,0,S.R.,3,S.R.,417
Guanajuato,3 075,2 601,490,27,S.R.,58,28,S.R.,384
Guerrero,2 358,1 414,1 547,41,S.R.,S.R.,52,87,0
Hidalgo,1 422,898,564,253,0,55,1,S.R.,24
Jalisco,2 666,6 390,1 605,6,45,10,17,10,3 764
México,9 167,5 149,2 497,76,2 110,S.R.,307,S.R.,4 686
Michoacán,1 634,1 696,1 451,480,S.R.,S.R.,0,2,S.R.
Morelos,998,2 142,2 260,15,S.R.,S.R.,2,S.R.,S.R.
Nayarit,407,481,639,140,21,S.R.,0,0,29
Nuevo León,1 186,3 964,278,1,S.R.,43,42,S.R.,1 734
Oaxaca,1 751,1 056,938,651,20,82,12,5,42
Puebla,1 617,2 661,842,501,26,35,2,S.R.,595
Querétaro,904,816,213,3,22,S.R.,17,S.R.,65
Quintana Roo,548,580,192,S.R.,S.R.,S.R.,1,0,0
San Luis Potosí,1 520,1 941,698,501,S.R.,2,24,S.R.,76
Sinaloa,2 786,2 681,287,157,158,4,5,22,504
Sonora,892,2 667,392,8,S.R.,S.R.,0,1,124
Tabasco,991,1 454,351,S.R.,S.R.,251,66,14,293
Tamaulipas,1 440,2 183,1 762,134,2,136,6,46,28
Tlaxcala,416,703,403,9,40,S.R.,1,S.R.,32
Veracruz,2 520,4 449,1 318,839,24,459,121,230,37
Yucatán,485,1 297,458,185,6,S.R.,32,0,327
Zacatecas,660,790,129,309,15,S.R.,0,S.R.,78
