Estado,< 1,01-abr,05-sep,oct-14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,Ign.
Aguascalientes,0,0,0,0,0,10,553,393,745,340,534,0
Baja California,0,0,3,9,40,50,1 767,977,2 183,979,1 301,19
Baja California Sur,0,0,0,0,2,13,278,117,219,86,115,0
Campeche,0,0,0,3,6,9,239,179,270,104,121,2
Coahuila,0,0,2,5,8,29,1 210,760,1 455,936,1 219,7
Colima,0,0,0,0,2,4,191,112,240,106,156,0
Chiapas,0,1,0,2,12,43,1 025,704,1 581,676,1 096,3
Chihuahua,1,5,5,19,27,44,1 691,952,2 241,863,1 431,3
Distrito Federal,1,0,3,12,21,106,2 883,2 107,3 873,2 035,2 753,15
Durango,0,0,1,1,0,18,762,550,1 105,511,896,0
Guanajuato,1,1,0,5,12,50,1 632,884,1 911,841,1 324,2
Guerrero,3,3,3,13,8,36,1 181,780,1 634,695,1 121,22
Hidalgo,0,1,2,1,5,34,631,422,953,471,697,0
Jalisco,0,0,0,7,37,124,2 882,1 723,4 128,1 932,3 644,36
México,7,7,2,23,36,172,4 848,3 455,6 974,3 561,4 817,90
Michoacán,1,2,5,1,7,38,1 005,659,1 382,769,1 367,27
Morelos,9,17,13,15,28,177,949,878,1 549,779,1 001,2
Nayarit,0,1,0,3,1,19,328,205,460,259,440,1
Nuevo León,1,13,7,18,26,61,1 773,938,2 083,984,1 327,17
Oaxaca,0,1,1,1,9,32,1 150,722,1 269,531,835,6
Puebla,0,0,1,3,14,44,1 090,769,1 801,875,1 676,6
Querétaro,0,0,0,0,1,11,513,298,649,204,363,1
Quintana Roo,1,0,0,9,5,22,462,191,340,112,178,1
San Luis Potosí,0,0,0,1,3,31,1 133,691,1 275,579,1 049,0
Sinaloa,3,2,4,6,9,29,1 224,763,1 940,959,1 662,3
Sonora,1,4,2,5,8,17,852,546,1 181,576,892,0
Tabasco,0,0,0,3,6,28,935,480,1 013,395,554,6
Tamaulipas,0,0,1,1,15,78,1 151,818,1 466,978,1 220,9
Tlaxcala,1,2,3,1,2,3,281,195,485,240,391,0
Veracruz,2,1,4,2,13,82,1 962,1 295,2 886,1 386,2 349,15
Yucatán,0,0,0,0,0,23,660,338,780,373,615,1
Zacatecas,0,0,0,0,2,16,444,219,569,280,449,2
