Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,297,216,173,197,222,145,209,108,154,156,140,142
Baja California,612,599,575,657,581,540,582,563,532,586,500,342
Baja California Sur,75,140,112,139,118,108,130,105,123,135,88,85
Campeche,229,147,137,168,131,128,138,104,110,154,121,81
Coahuila,817,681,804,905,638,672,720,617,658,766,577,465
Colima,111,88,142,144,104,110,123,114,89,124,80,65
Chiapas,594,670,698,907,590,746,926,739,621,641,527,447
Chihuahua,705,741,722,874,716,735,875,808,799,979,719,661
Distrito Federal,2 164,1 966,1 872,2 322,1 770,1 955,2 278,1 729,1 928,2 057,1 619,1 391
Durango,440,356,331,376,401,366,415,318,287,433,355,298
Guanajuato,1 004,845,837,948,774,797,778,631,714,816,539,413
Guerrero,660,606,593,851,756,680,868,649,702,842,765,551
Hidalgo,275,321,321,389,302,347,387,358,344,339,274,210
Jalisco,1 599,1 597,1 739,1 969,1 705,1 608,1 990,1 621,1 661,2 031,1 514,1 254
México,2 679,2 178,2 172,2 652,2 447,2 637,3 050,2 433,2 575,3 022,2 361,1 971
Michoacán,652,604,544,644,700,664,680,642,736,735,580,440
Morelos,771,544,509,658,476,482,753,753,489,532,488,330
Nayarit,186,171,156,186,227,177,196,215,161,157,180,136
Nuevo León,680,1 070,727,786,702,771,924,737,763,884,723,643
Oaxaca,672,490,602,666,587,654,716,582,621,690,555,452
Puebla,1 043,914,910,1 099,841,844,904,722,750,882,655,576
Querétaro,207,164,203,248,206,184,242,212,216,280,221,187
Quintana Roo,104,123,106,102,126,143,111,99,134,150,106,98
San Luis Potosí,576,555,472,595,557,563,635,491,528,565,492,395
Sinaloa,756,737,661,869,744,798,925,720,769,829,709,532
Sonora,509,438,459,424,346,432,513,408,445,462,348,243
Tabasco,329,331,451,501,436,487,548,484,451,427,351,268
Tamaulipas,794,695,793,1 069,892,859,919,746,738,739,507,412
Tlaxcala,177,171,156,189,139,178,243,191,172,189,138,117
Veracruz,1 116,1 061,1 198,1 345,1 126,1 267,1 452,1 173,1 180,1 251,1 122,840
Yucatán,456,386,477,473,422,492,545,441,475,584,412,439
Zacatecas,197,187,200,253,186,289,238,243,211,209,191,149
