Estado,Tasa*,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,420.21,372,386,383,333,385,355,342,441,329,374,368,319
Baja California,423.5,938,923,1 101,964,1 180,1 042,1 000,1 323,1 031,1 078,1 159,745
Baja California Sur,387.96,171,170,153,137,195,197,155,186,138,140,152,156
Campeche,437.89,272,394,262,253,342,256,250,423,228,200,324,193
Coahuila,645.65,1 358,1 274,1 494,1 235,1 511,1 244,1 144,1 854,1 198,1 296,1 626,1 186
Colima,368.48,174,207,198,194,200,185,173,202,176,183,168,119
Chiapas,301.01,1 105,1 357,1 417,1 282,1 381,1 266,1 048,1 168,843,676,1 036,717
Chihuahua,361.02,939,969,1 160,1 130,1 179,991,1 024,1 383,902,1 032,1 039,644
Distrito Federal,460.61,3 207,3 396,3 678,3 462,4 196,3 298,3 263,3 650,3 199,3 195,3 702,2 356
Durango,816.3,998,851,943,964,875,925,1 444,1 745,1 306,952,1 015,675
Guanajuato,371.54,1 316,1 530,1 779,1 610,1 700,1 485,1 302,1 867,1 477,1 610,1 866,1 278
Guerrero,422.13,1 196,1 138,1 066,1 177,1 399,1 158,1 148,1 331,985,1 107,1 314,745
Hidalgo,250.22,422,527,528,561,600,458,490,616,511,432,508,327
Jalisco,496.36,2 926,3 176,3 591,3 273,3 762,2 652,2 493,2 877,2 198,2 284,2 965,1 629
México,306.83,3 639,3 856,4 328,3 731,4 483,3 699,3 372,4 088,3 355,3 402,4 392,2 675
Michoacán,217.74,652,732,892,833,791,697,681,971,679,754,942,580
Morelos,581.28,599,695,900,819,914,807,891,962,811,783,1 125,676
Nayarit,417.58,330,329,315,348,442,325,310,434,285,387,380,281
Nuevo León,318.58,1 094,1 121,1 354,1 154,1 407,1 164,928,1 200,1 042,951,1 208,893
Oaxaca,297.56,834,873,902,1 051,1 083,908,825,1 116,919,837,1 080,632
Puebla,372.95,1 739,1 629,1 924,1 977,2 166,1 548,1 522,1 878,1 341,1 636,1 997,1 293
Querétaro,279.12,348,359,433,441,443,341,373,439,308,328,366,290
Quintana Roo,144.11,150,115,137,150,175,139,114,147,113,136,117,80
San Luis Potosí,486.9,691,879,1 163,958,1 219,980,1 000,1 169,912,938,1 127,695
Sinaloa,451.65,1 035,972,982,936,1 236,909,973,1 181,998,1 130,1 251,913
Sonora,387.89,806,988,923,796,871,783,855,947,669,711,839,459
Tabasco,337.08,498,573,672,658,865,681,576,787,519,548,403,196
Tamaulipas,389.81,1 089,1 056,1 133,1 151,1 238,1 033,862,1 234,904,885,1 030,718
Tlaxcala,324.91,230,213,277,280,322,282,254,505,273,259,352,237
Veracruz,234.66,1 555,1 807,1 834,1 478,1 691,1 272,1 167,1 512,1 074,1 314,1 544,873
Yucatán,436.7,672,599,836,562,716,654,499,659,667,724,767,539
Zacatecas,272.08,347,324,451,338,334,300,286,347,266,285,382,195
