Estado,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,,
Aguascalientes,423,576,677,403,376,554,417,585,426,443,609,451,,=
Baja California,1 188,1 327,1 637,1 274,1 243,1 812,1 316,1 736,1 279,1 373,1 482,970,,
Baja California Sur,127,94,159,123,134,220,161,184,164,163,162,115,,
Campeche,197,227,244,175,185,277,163,286,200,152,160,99,,
Coahuila,959,811,1 039,701,1 012,1 395,1 146,1 391,1 284,1 351,1 431,741,,
Colima,103,166,225,166,164,208,153,191,117,100,126,68,,
Chiapas,1 132,1 150,1 417,1 046,1 103,1 355,983,1 410,1 043,940,1 185,750,,
Chihuahua,1 644,1 406,1 883,1 314,1 400,1 650,1 412,1 712,1 233,1 461,1 661,1 224,,
Distrito Federal,2 687,2 930,3 320,2 384,2 267,3 023,2 327,2 619,2 336,2 382,2 643,1 689,,
Durango,769,963,1 107,872,861,975,766,735,477,553,784,416,,
Guanajuato,1 276,1 354,1 664,1 155,1 316,1 618,1 247,1 649,1 154,1 225,1 330,958,,
Guerrero,1 052,1 151,1 609,1 061,1 205,1 324,1 128,1 425,1 027,1 053,1 274,760,,
Hidalgo,550,616,837,622,815,825,667,778,635,716,836,430,,
Jalisco,2 594,2 592,3 710,2 548,2 701,3 508,2 612,3 255,2 430,2 595,3 016,1 983,,
México,4 321,4 253,5 831,3 991,3 745,5 325,4 256,6 667,5 138,4 920,5 965,3 715,,
Michoacán,1 001,1 168,1 219,1 017,1 097,1 320,958,1 202,967,1 048,1 115,646,,
Morelos,817,965,1 857,1 152,1 032,965,762,977,768,945,1 030,660,,
Nayarit,287,362,449,343,292,341,316,508,340,285,324,224,,
Nuevo León,1 419,1 450,2 115,1 115,1 261,1 634,1 361,1 667,1 114,1 380,1 622,818,,
Oaxaca,1 246,1 228,1 467,842,859,1 257,789,1 175,932,856,851,499,,
Puebla,1 129,1 427,1 723,1 175,1 244,1 453,1 352,1 539,1 363,1 395,1 567,1 026,,
Querétaro,415,417,513,323,352,419,393,449,395,445,491,279,,
Quintana Roo,218,237,323,265,286,363,279,322,254,230,273,192,,
San Luis Potosí,983,1 102,1 445,919,959,1 266,1 022,1 178,872,864,915,585,,
Sinaloa,1 145,1 163,1 535,1 227,1 259,1 693,1 287,1 628,1 353,1 409,1 432,914,,
Sonora,644,787,1 131,842,788,999,802,976,676,842,883,596,,
Tabasco,589,691,861,589,635,930,632,816,601,625,725,447,,
Tamaulipas,1 051,1 008,1 486,952,1 114,1 441,1 198,1 452,1 063,971,1 153,782,,
Tlaxcala,276,307,396,280,288,360,251,406,273,346,348,224,,
Veracruz,1 995,2 379,2 868,2 163,2 188,2 797,1 985,2 639,1 777,1 862,2 174,1 420,,
Yucatán,575,641,746,540,527,759,580,606,427,423,446,395,,
Zacatecas,362,459,549,361,406,527,432,543,371,411,418,236,,
