Estado,Tasa*,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,672.22,313,364,426,268,249,346,195,333,213,273,250,142
Baja California,363.92,401,379,531,371,467,548,472,545,441,426,447,277
Baja California Sur,377.57,100,95,131,62,58,82,69,92,58,83,75,44
Campeche,208.98,72,55,67,48,46,59,68,93,63,95,77,65
Coahuila,504.5,488,444,583,474,417,564,539,667,548,587,653,417
Colima,236.05,37,53,78,39,40,47,74,70,61,60,73,58
Chiapas,195.78,323,308,396,368,378,433,323,393,418,337,402,211
Chihuahua,315.8,463,445,623,502,433,646,344,591,388,327,376,252
Distrito Federal,366.37,1362,1345,1715,1187,1223,1607,1254,1425,1102,1197,1460,867
Durango,522.55,300,362,423,347,351,392,345,425,306,296,305,176
Guanajuato,289.98,486,599,833,610,567,722,490,608,491,590,630,472
Guerrero,347,451,460,572,453,436,581,442,581,417,429,477,302
Hidalgo,192.15,206,202,311,203,169,186,146,178,136,147,236,120
Jalisco,448.55,1337,1307,1842,1345,1235,1443,1067,1451,1048,1131,1208,648
México,241.32,1459,1381,1746,1372,1369,1745,1428,1716,1148,1332,1683,1041
Michoacán,167.63,297,266,313,221,249,277,227,358,232,476,348,191
Morelos,491.79,349,326,448,341,307,461,355,438,304,252,298,268
Nayarit,360.15,93,159,184,121,163,172,166,181,168,136,193,67
Nuevo León,261.03,420,388,558,414,436,611,470,638,452,431,402,271
Oaxaca,194.98,312,267,342,242,245,310,252,331,357,272,363,247
Puebla,281.74,593,630,859,590,643,758,592,728,604,582,629,411
Querétaro,258.38,162,143,190,182,198,237,163,209,105,133,174,122
Quintana Roo,106.08,39,39,71,48,46,51,29,45,43,46,83,37
San Luis Potosí,356.07,300,430,600,353,333,432,278,341,271,285,361,229
Sinaloa,369.57,398,390,570,367,386,499,371,525,385,456,452,346
Sonora,317.02,301,352,373,262,281,386,432,363,276,304,376,235
Tabasco,271.9,215,216,266,251,237,235,218,275,225,232,273,152
Tamaulipas,349.62,371,443,538,403,444,525,464,555,440,546,462,273
Tlaxcala,214.31,94,92,100,77,60,122,94,124,92,77,101,90
Veracruz,172.08,422,443,608,499,454,619,513,656,493,521,606,366
Yucatán,356.71,324,244,330,235,248,307,211,263,220,325,289,181
Zacatecas,264.96,139,163,218,147,149,181,160,161,94,154,165,99
