"","Estado","fuente","observaciones","ano","genero"
"1","Aguascalientes","SSA",690,2013,"masculino"
"2","Baja California","SSA",2303,2013,"masculino"
"3","Baja California Sur","SSA",371,2013,"masculino"
"4","Campeche","SSA",321,2013,"masculino"
"5","Coahuila","SSA",377,2013,"masculino"
"6","Colima","SSA",317,2013,"masculino"
"7","Chiapas","SSA",1800,2013,"masculino"
"8","Chihuahua","SSA",1709,2013,"masculino"
"9","Distrito Federal","SSA",5136,2013,"masculino"
"10","Durango","SSA",342,2013,"masculino"
"11","Guanajuato","SSA",2598,2013,"masculino"
"12","Guerrero","SSA",2904,2013,"masculino"
"13","Hidalgo","SSA",1555,2013,"masculino"
"14","Jalisco","SSA",2687,2013,"masculino"
"15","Mexico","SSA",10869,2013,"masculino"
"16","Michoacan","SSA",1331,2013,"masculino"
"17","Morelos","SSA",985,2013,"masculino"
"18","Nayarit","SSA",366,2013,"masculino"
"19","Nuevo Leon","SSA",1236,2013,"masculino"
"20","Oaxaca","SSA",1879,2013,"masculino"
"21","Puebla","SSA",1755,2013,"masculino"
"22","Queretaro","SSA",992,2013,"masculino"
"23","Quintana Roo","SSA",613,2013,"masculino"
"24","San Luis Potosi","SSA",1139,2013,"masculino"
"25","Sinaloa","SSA",3486,2013,"masculino"
"26","Sonora","SSA",903,2013,"masculino"
"27","Tabasco","SSA",993,2013,"masculino"
"28","Tamaulipas","SSA",1615,2013,"masculino"
"29","Tlaxcala","SSA",481,2013,"masculino"
"30","Veracruz","SSA",2275,2013,"masculino"
"31","Yucatan","SSA",503,2013,"masculino"
"32","Zacatecas","SSA",578,2013,"masculino"
"33","Aguascalientes","IMMS",831,2013,"masculino"
"34","Baja California","IMMS",3533,2013,"masculino"
"35","Baja California Sur","IMMS",518,2013,"masculino"
"36","Campeche","IMMS",247,2013,"masculino"
"37","Coahuila","IMMS",2030,2013,"masculino"
"38","Colima","IMMS",459,2013,"masculino"
"39","Chiapas","IMMS",1387,2013,"masculino"
"40","Chihuahua","IMMS",2155,2013,"masculino"
"41","Distrito Federal","IMMS",2756,2013,"masculino"
"42","Durango","IMMS",934,2013,"masculino"
"43","Guanajuato","IMMS",2307,2013,"masculino"
"44","Guerrero","IMMS",1205,2013,"masculino"
"45","Hidalgo","IMMS",872,2013,"masculino"
"46","Jalisco","IMMS",4162,2013,"masculino"
"47","Mexico","IMMS",5076,2013,"masculino"
"48","Michoacan","IMMS",1660,2013,"masculino"
"49","Morelos","IMMS",2236,2013,"masculino"
"50","Nayarit","IMMS",444,2013,"masculino"
"51","Nuevo Leon","IMMS",4272,2013,"masculino"
"52","Oaxaca","IMMS",743,2013,"masculino"
"53","Puebla","IMMS",2038,2013,"masculino"
"54","Queretaro","IMMS",810,2013,"masculino"
"55","Quintana Roo","IMMS",640,2013,"masculino"
"56","San Luis Potosi","IMMS",2090,2013,"masculino"
"57","Sinaloa","IMMS",2136,2013,"masculino"
"58","Sonora","IMMS",2746,2013,"masculino"
"59","Tabasco","IMMS",1071,2013,"masculino"
"60","Tamaulipas","IMMS",2166,2013,"masculino"
"61","Tlaxcala","IMMS",708,2013,"masculino"
"62","Veracruz","IMMS",4670,2013,"masculino"
"63","Yucatan","IMMS",754,2013,"masculino"
"64","Zacatecas","IMMS",627,2013,"masculino"
"65","Aguascalientes","ISSSTE",626,2013,"masculino"
"66","Baja California","ISSSTE",556,2013,"masculino"
"67","Baja California Sur","ISSSTE",83,2013,"masculino"
"68","Campeche","ISSSTE",115,2013,"masculino"
"69","Coahuila","ISSSTE",1282,2013,"masculino"
"70","Colima","ISSSTE",24,2013,"masculino"
"71","Chiapas","ISSSTE",775,2013,"masculino"
"72","Chihuahua","ISSSTE",447,2013,"masculino"
"73","Distrito Federal","ISSSTE",2871,2013,"masculino"
"74","Durango","ISSSTE",1591,2013,"masculino"
"75","Guanajuato","ISSSTE",369,2013,"masculino"
"76","Guerrero","ISSSTE",973,2013,"masculino"
"77","Hidalgo","ISSSTE",556,2013,"masculino"
"78","Jalisco","ISSSTE",1630,2013,"masculino"
"79","Mexico","ISSSTE",2740,2013,"masculino"
"80","Michoacan","ISSSTE",1749,2013,"masculino"
"81","Morelos","ISSSTE",1664,2013,"masculino"
"82","Nayarit","ISSSTE",593,2013,"masculino"
"83","Nuevo Leon","ISSSTE",170,2013,"masculino"
"84","Oaxaca","ISSSTE",898,2013,"masculino"
"85","Puebla","ISSSTE",417,2013,"masculino"
"86","Queretaro","ISSSTE",102,2013,"masculino"
"87","Quintana Roo","ISSSTE",155,2013,"masculino"
"88","San Luis Potosi","ISSSTE",751,2013,"masculino"
"89","Sinaloa","ISSSTE",351,2013,"masculino"
"90","Sonora","ISSSTE",475,2013,"masculino"
"91","Tabasco","ISSSTE",424,2013,"masculino"
"92","Tamaulipas","ISSSTE",1871,2013,"masculino"
"93","Tlaxcala","ISSSTE",294,2013,"masculino"
"94","Veracruz","ISSSTE",1871,2013,"masculino"
"95","Yucatan","ISSSTE",608,2013,"masculino"
"96","Zacatecas","ISSSTE",135,2013,"masculino"
"97","Aguascalientes","IMMS",NA,2013,"masculino"
"98","Baja California","IMMS",38,2013,"masculino"
"99","Baja California Sur","IMMS",NA,2013,"masculino"
"100","Campeche","IMMS",71,2013,"masculino"
"101","Coahuila","IMMS",122,2013,"masculino"
"102","Colima","IMMS",NA,2013,"masculino"
"103","Chiapas","IMMS",365,2013,"masculino"
"104","Chihuahua","IMMS",115,2013,"masculino"
"105","Distrito Federal","IMMS",23,2013,"masculino"
"106","Durango","IMMS",175,2013,"masculino"
"107","Guanajuato","IMMS",32,2013,"masculino"
"108","Guerrero","IMMS",80,2013,"masculino"
"109","Hidalgo","IMMS",229,2013,"masculino"
"110","Jalisco","IMMS",10,2013,"masculino"
"111","Mexico","IMMS",55,2013,"masculino"
"112","Michoacan","IMMS",381,2013,"masculino"
"113","Morelos","IMMS",8,2013,"masculino"
"114","Nayarit","IMMS",65,2013,"masculino"
"115","Nuevo Leon","IMMS",1,2013,"masculino"
"116","Oaxaca","IMMS",552,2013,"masculino"
"117","Puebla","IMMS",338,2013,"masculino"
"118","Queretaro","IMMS",5,2013,"masculino"
"119","Quintana Roo","IMMS",NA,2013,"masculino"
"120","San Luis Potosi","IMMS",423,2013,"masculino"
"121","Sinaloa","IMMS",136,2013,"masculino"
"122","Sonora","IMMS",0,2013,"masculino"
"123","Tabasco","IMMS",NA,2013,"masculino"
"124","Tamaulipas","IMMS",119,2013,"masculino"
"125","Tlaxcala","IMMS",11,2013,"masculino"
"126","Veracruz","IMMS",719,2013,"masculino"
"127","Yucatan","IMMS",244,2013,"masculino"
"128","Zacatecas","IMMS",213,2013,"masculino"
"129","Aguascalientes","DIF",6,2013,"masculino"
"130","Baja California","DIF",NA,2013,"masculino"
"131","Baja California Sur","DIF",NA,2013,"masculino"
"132","Campeche","DIF",0,2013,"masculino"
"133","Coahuila","DIF",154,2013,"masculino"
"134","Colima","DIF",13,2013,"masculino"
"135","Chiapas","DIF",NA,2013,"masculino"
"136","Chihuahua","DIF",NA,2013,"masculino"
"137","Distrito Federal","DIF",79,2013,"masculino"
"138","Durango","DIF",0,2013,"masculino"
"139","Guanajuato","DIF",NA,2013,"masculino"
"140","Guerrero","DIF",NA,2013,"masculino"
"141","Hidalgo","DIF",0,2013,"masculino"
"142","Jalisco","DIF",44,2013,"masculino"
"143","Mexico","DIF",1584,2013,"masculino"
"144","Michoacan","DIF",NA,2013,"masculino"
"145","Morelos","DIF",NA,2013,"masculino"
"146","Nayarit","DIF",40,2013,"masculino"
"147","Nuevo Leon","DIF",NA,2013,"masculino"
"148","Oaxaca","DIF",21,2013,"masculino"
"149","Puebla","DIF",19,2013,"masculino"
"150","Queretaro","DIF",3,2013,"masculino"
"151","Quintana Roo","DIF",NA,2013,"masculino"
"152","San Luis Potosi","DIF",NA,2013,"masculino"
"153","Sinaloa","DIF",70,2013,"masculino"
"154","Sonora","DIF",NA,2013,"masculino"
"155","Tabasco","DIF",NA,2013,"masculino"
"156","Tamaulipas","DIF",1,2013,"masculino"
"157","Tlaxcala","DIF",61,2013,"masculino"
"158","Veracruz","DIF",59,2013,"masculino"
"159","Yucatan","DIF",3,2013,"masculino"
"160","Zacatecas","DIF",30,2013,"masculino"
"161","Aguascalientes","PEMEX",NA,2013,"masculino"
"162","Baja California","PEMEX",NA,2013,"masculino"
"163","Baja California Sur","PEMEX",NA,2013,"masculino"
"164","Campeche","PEMEX",20,2013,"masculino"
"165","Coahuila","PEMEX",NA,2013,"masculino"
