"","Estado","grupo","observaciones","ano","genero"
"1","Aguascalientes","----1",NA,2013,"masculino"
"2","Baja California","----1",NA,2013,"masculino"
"3","Baja California Sur","----1",NA,2013,"masculino"
"4","Campeche","----1",NA,2013,"masculino"
"5","Coahuila","----1",NA,2013,"masculino"
"6","Colima","----1",NA,2013,"masculino"
"7","Chiapas","----1",NA,2013,"masculino"
"8","Chihuahua","----1",NA,2013,"masculino"
"9","Distrito Federal","----1",NA,2013,"masculino"
"10","Durango","----1",NA,2013,"masculino"
"11","Guanajuato","----1",NA,2013,"masculino"
"12","Guerrero","----1",NA,2013,"masculino"
"13","Hidalgo","----1",NA,2013,"masculino"
"14","Jalisco","----1",NA,2013,"masculino"
"15","Mexico","----1",NA,2013,"masculino"
"16","Michoacan","----1",NA,2013,"masculino"
"17","Morelos","----1",NA,2013,"masculino"
"18","Nayarit","----1",NA,2013,"masculino"
"19","Nuevo Leon","----1",NA,2013,"masculino"
"20","Oaxaca","----1",NA,2013,"masculino"
"21","Puebla","----1",NA,2013,"masculino"
"22","Queretaro","----1",NA,2013,"masculino"
"23","Quintana Roo","----1",NA,2013,"masculino"
"24","San Luis Potosi","----1",NA,2013,"masculino"
"25","Sinaloa","----1",NA,2013,"masculino"
"26","Sonora","----1",NA,2013,"masculino"
"27","Tabasco","----1",NA,2013,"masculino"
"28","Tamaulipas","----1",NA,2013,"masculino"
"29","Tlaxcala","----1",NA,2013,"masculino"
"30","Veracruz","----1",NA,2013,"masculino"
"31","Yucatan","----1",NA,2013,"masculino"
"32","Zacatecas","----1",0,2013,"masculino"
"33","Aguascalientes","1---4",NA,2013,"masculino"
"34","Baja California","1---4",NA,2013,"masculino"
"35","Baja California Sur","1---4",NA,2013,"masculino"
"36","Campeche","1---4",NA,2013,"masculino"
"37","Coahuila","1---4",NA,2013,"masculino"
"38","Colima","1---4",NA,2013,"masculino"
"39","Chiapas","1---4",NA,2013,"masculino"
"40","Chihuahua","1---4",NA,2013,"masculino"
"41","Distrito Federal","1---4",NA,2013,"masculino"
"42","Durango","1---4",NA,2013,"masculino"
"43","Guanajuato","1---4",NA,2013,"masculino"
