"","Estado","mes","observaciones","ano","genero"
"1","Baja California","Enero",643,2013,"masculino"
"2","Baja California Sur","Enero",86,2013,"masculino"
"3","Campeche","Enero",48,2013,"masculino"
"4","Coahuila","Enero",475,2013,"masculino"
"5","Colima","Enero",81,2013,"masculino"
"6","Chiapas","Enero",457,2013,"masculino"
"7","Chihuahua","Enero",684,2013,"masculino"
"8","Distrito Federal","Enero",1109,2013,"masculino"
"9","Durango","Enero",219,2013,"masculino"
"10","Guanajuato","Enero",624,2013,"masculino"
"11","Guerrero","Enero",500,2013,"masculino"
"12","Hidalgo","Enero",308,2013,"masculino"
"13","Jalisco","Enero",1153,2013,"masculino"
"14","Mexico","Enero",2523,2013,"masculino"
"15","Michoacan","Enero",489,2013,"masculino"
"16","Morelos","Enero",383,2013,"masculino"
"17","Nayarit","Enero",147,2013,"masculino"
"18","Nuevo Leon","Enero",618,2013,"masculino"
"19","Oaxaca","Enero",399,2013,"masculino"
"20","Puebla","Enero",315,2013,"masculino"
"21","Queretaro","Enero",204,2013,"masculino"
"22","Quintana Roo","Enero",133,2013,"masculino"
"23","San Luis Potosi","Enero",375,2013,"masculino"
"24","Sinaloa","Enero",588,2013,"masculino"
"25","Sonora","Enero",411,2013,"masculino"
"26","Tabasco","Enero",322,2013,"masculino"
"27","Tamaulipas","Enero",579,2013,"masculino"
"28","Tlaxcala","Enero",187,2013,"masculino"
"29","Veracruz","Enero",1069,2013,"masculino"
"30","Yucatan","Enero",295,2013,"masculino"
"31","Zacatecas","Enero",152,2013,"masculino"
"32","Zacatecas","Enero",122,2013,"masculino"
"33","Baja California","Febrero",525,2013,"masculino"
"34","Baja California Sur","Febrero",85,2013,"masculino"
"35","Campeche","Febrero",46,2013,"masculino"
"36","Coahuila","Febrero",414,2013,"masculino"
"37","Colima","Febrero",56,2013,"masculino"
"38","Chiapas","Febrero",368,2013,"masculino"
"39","Chihuahua","Febrero",501,2013,"masculino"
"40","Distrito Federal","Febrero",903,2013,"masculino"
"41","Durango","Febrero",173,2013,"masculino"
"42","Guanajuato","Febrero",495,2013,"masculino"
"43","Guerrero","Febrero",448,2013,"masculino"
"44","Hidalgo","Febrero",250,2013,"masculino"
"45","Jalisco","Febrero",1029,2013,"masculino"
"46","Mexico","Febrero",2152,2013,"masculino"
"47","Michoacan","Febrero",432,2013,"masculino"
"48","Morelos","Febrero",375,2013,"masculino"
"49","Nayarit","Febrero",142,2013,"masculino"
"50","Nuevo Leon","Febrero",534,2013,"masculino"
"51","Oaxaca","Febrero",322,2013,"masculino"
"52","Puebla","Febrero",425,2013,"masculino"
"53","Queretaro","Febrero",151,2013,"masculino"
"54","Quintana Roo","Febrero",126,2013,"masculino"
"55","San Luis Potosi","Febrero",366,2013,"masculino"
"56","Sinaloa","Febrero",594,2013,"masculino"
"57","Sonora","Febrero",379,2013,"masculino"
"58","Tabasco","Febrero",282,2013,"masculino"
"59","Tamaulipas","Febrero",537,2013,"masculino"
"60","Tlaxcala","Febrero",153,2013,"masculino"
"61","Veracruz","Febrero",869,2013,"masculino"
"62","Yucatan","Febrero",192,2013,"masculino"
"63","Zacatecas","Febrero",123,2013,"masculino"
"64","Zacatecas","Febrero",148,2013,"masculino"
"65","Baja California","Marzo",531,2013,"masculino"
"66","Baja California Sur","Marzo",75,2013,"masculino"
"67","Campeche","Marzo",58,2013,"masculino"
"68","Coahuila","Marzo",356,2013,"masculino"
"69","Colima","Marzo",79,2013,"masculino"
"70","Chiapas","Marzo",308,2013,"masculino"
"71","Chihuahua","Marzo",474,2013,"masculino"
"72","Distrito Federal","Marzo",849,2013,"masculino"
"73","Durango","Marzo",240,2013,"masculino"
"74","Guanajuato","Marzo",381,2013,"masculino"
"75","Guerrero","Marzo",430,2013,"masculino"
"76","Hidalgo","Marzo",250,2013,"masculino"
"77","Jalisco","Marzo",891,2013,"masculino"
"78","Mexico","Marzo",2148,2013,"masculino"
"79","Michoacan","Marzo",407,2013,"masculino"
"80","Morelos","Marzo",382,2013,"masculino"
"81","Nayarit","Marzo",126,2013,"masculino"
"82","Nuevo Leon","Marzo",501,2013,"masculino"
"83","Oaxaca","Marzo",300,2013,"masculino"
"84","Puebla","Marzo",451,2013,"masculino"
"85","Queretaro","Marzo",166,2013,"masculino"
"86","Quintana Roo","Marzo",94,2013,"masculino"
"87","San Luis Potosi","Marzo",395,2013,"masculino"
"88","Sinaloa","Marzo",545,2013,"masculino"
"89","Sonora","Marzo",333,2013,"masculino"
"90","Tabasco","Marzo",220,2013,"masculino"
"91","Tamaulipas","Marzo",502,2013,"masculino"
"92","Tlaxcala","Marzo",122,2013,"masculino"
"93","Veracruz","Marzo",793,2013,"masculino"
"94","Yucatan","Marzo",205,2013,"masculino"
"95","Zacatecas","Marzo",131,2013,"masculino"
"96","Zacatecas","Marzo",159,2013,"masculino"
"97","Baja California","Abril",613,2013,"masculino"
"98","Baja California Sur","Abril",100,2013,"masculino"
"99","Campeche","Abril",71,2013,"masculino"
"100","Coahuila","Abril",265,2013,"masculino"
"101","Colima","Abril",81,2013,"masculino"
"102","Chiapas","Abril",410,2013,"masculino"
"103","Chihuahua","Abril",504,2013,"masculino"
"104","Distrito Federal","Abril",965,2013,"masculino"
"105","Durango","Abril",236,2013,"masculino"
"106","Guanajuato","Abril",525,2013,"masculino"
"107","Guerrero","Abril",422,2013,"masculino"
"108","Hidalgo","Abril",307,2013,"masculino"
"109","Jalisco","Abril",1077,2013,"masculino"
"110","Mexico","Abril",2422,2013,"masculino"
"111","Michoacan","Abril",456,2013,"masculino"
"112","Morelos","Abril",411,2013,"masculino"
"113","Nayarit","Abril",177,2013,"masculino"
"114","Nuevo Leon","Abril",546,2013,"masculino"
"115","Oaxaca","Abril",353,2013,"masculino"
"116","Puebla","Abril",445,2013,"masculino"
"117","Queretaro","Abril",184,2013,"masculino"
"118","Quintana Roo","Abril",111,2013,"masculino"
"119","San Luis Potosi","Abril",374,2013,"masculino"
"120","Sinaloa","Abril",582,2013,"masculino"
"121","Sonora","Abril",369,2013,"masculino"
"122","Tabasco","Abril",255,2013,"masculino"
"123","Tamaulipas","Abril",517,2013,"masculino"
"124","Tlaxcala","Abril",169,2013,"masculino"
"125","Veracruz","Abril",827,2013,"masculino"
"126","Yucatan","Abril",200,2013,"masculino"
"127","Zacatecas","Abril",138,2013,"masculino"
"128","Zacatecas","Abril",171,2013,"masculino"
"129","Baja California","Mayo",780,2013,"masculino"
"130","Baja California Sur","Mayo",127,2013,"masculino"
"131","Campeche","Mayo",65,2013,"masculino"
"132","Coahuila","Mayo",404,2013,"masculino"
"133","Colima","Mayo",91,2013,"masculino"
"134","Chiapas","Mayo",476,2013,"masculino"
"135","Chihuahua","Mayo",575,2013,"masculino"
"136","Distrito Federal","Mayo",1118,2013,"masculino"
"137","Durango","Mayo",824,2013,"masculino"
"138","Guanajuato","Mayo",619,2013,"masculino"
"139","Guerrero","Mayo",474,2013,"masculino"
"140","Hidalgo","Mayo",313,2013,"masculino"
"141","Jalisco","Mayo",1189,2013,"masculino"
"142","Mexico","Mayo",2572,2013,"masculino"
"143","Michoacan","Mayo",512,2013,"masculino"
"144","Morelos","Mayo",524,2013,"masculino"
"145","Nayarit","Mayo",205,2013,"masculino"
"146","Nuevo Leon","Mayo",758,2013,"masculino"
"147","Oaxaca","Mayo",377,2013,"masculino"
"148","Puebla","Mayo",550,2013,"masculino"
"149","Queretaro","Mayo",194,2013,"masculino"
"150","Quintana Roo","Mayo",162,2013,"masculino"
"151","San Luis Potosi","Mayo",492,2013,"masculino"
"152","Sinaloa","Mayo",642,2013,"masculino"
"153","Sonora","Mayo",410,2013,"masculino"
"154","Tabasco","Mayo",297,2013,"masculino"
"155","Tamaulipas","Mayo",626,2013,"masculino"
"156","Tlaxcala","Mayo",167,2013,"masculino"
"157","Veracruz","Mayo",997,2013,"masculino"
"158","Yucatan","Mayo",219,2013,"masculino"
"159","Zacatecas","Mayo",168,2013,"masculino"
"160","Zacatecas","Mayo",148,2013,"masculino"
"161","Baja California","Junio",576,2013,"masculino"
"162","Baja California Sur","Junio",78,2013,"masculino"
"163","Campeche","Junio",73,2013,"masculino"
"164","Coahuila","Junio",363,2013,"masculino"
"165","Colima","Junio",65,2013,"masculino"
"166","Chiapas","Junio",414,2013,"masculino"
"167","Chihuahua","Junio",419,2013,"masculino"
"168","Distrito Federal","Junio",979,2013,"masculino"
"169","Durango","Junio",230,2013,"masculino"
"170","Guanajuato","Junio",479,2013,"masculino"
"171","Guerrero","Junio",464,2013,"masculino"
"172","Hidalgo","Junio",268,2013,"masculino"
"173","Jalisco","Junio",884,2013,"masculino"
"174","Mexico","Junio",2014,2013,"masculino"
"175","Michoacan","Junio",454,2013,"masculino"
"176","Morelos","Junio",381,2013,"masculino"
"177","Nayarit","Junio",130,2013,"masculino"
"178","Nuevo Leon","Junio",552,2013,"masculino"
"179","Oaxaca","Junio",316,2013,"masculino"
"180","Puebla","Junio",407,2013,"masculino"
"181","Queretaro","Junio",158,2013,"masculino"
"182","Quintana Roo","Junio",106,2013,"masculino"
"183","San Luis Potosi","Junio",406,2013,"masculino"
"184","Sinaloa","Junio",564,2013,"masculino"
"185","Sonora","Junio",373,2013,"masculino"
"186","Tabasco","Junio",256,2013,"masculino"
"187","Tamaulipas","Junio",463,2013,"masculino"
"188","Tlaxcala","Junio",92,2013,"masculino"
"189","Veracruz","Junio",850,2013,"masculino"
"190","Yucatan","Junio",190,2013,"masculino"
"191","Zacatecas","Junio",163,2013,"masculino"
"192","Zacatecas","Junio",148,2013,"masculino"
"193","Baja California","Julio",897,2013,"masculino"
"194","Baja California Sur","Julio",105,2013,"masculino"
"195","Campeche","Julio",64,2013,"masculino"
"196","Coahuila","Julio",392,2013,"masculino"
"197","Colima","Julio",88,2013,"masculino"
"198","Chiapas","Julio",393,2013,"masculino"
"199","Chihuahua","Julio",541,2013,"masculino"
"200","Distrito Federal","Julio",1181,2013,"masculino"
"201","Durango","Julio",303,2013,"masculino"
"202","Guanajuato","Julio",616,2013,"masculino"
"203","Guerrero","Julio",541,2013,"masculino"
"204","Hidalgo","Julio",341,2013,"masculino"
"205","Jalisco","Julio",1101,2013,"masculino"
"206","Mexico","Julio",1992,2013,"masculino"
"207","Michoacan","Julio",493,2013,"masculino"
"208","Morelos","Julio",501,2013,"masculino"
"209","Nayarit","Julio",75,2013,"masculino"
"210","Nuevo Leon","Julio",642,2013,"masculino"
"211","Oaxaca","Julio",452,2013,"masculino"
"212","Puebla","Julio",504,2013,"masculino"
"213","Queretaro","Julio",196,2013,"masculino"
"214","Quintana Roo","Julio",137,2013,"masculino"
"215","San Luis Potosi","Julio",465,2013,"masculino"
"216","Sinaloa","Julio",773,2013,"masculino"
"217","Sonora","Julio",452,2013,"masculino"
"218","Tabasco","Julio",304,2013,"masculino"
"219","Tamaulipas","Julio",548,2013,"masculino"
"220","Tlaxcala","Julio",133,2013,"masculino"
"221","Veracruz","Julio",1062,2013,"masculino"
"222","Yucatan","Julio",204,2013,"masculino"
"223","Zacatecas","Julio",167,2013,"masculino"
"224","Zacatecas","Julio",151,2013,"masculino"
"225","Baja California","Agosto",884,2013,"masculino"
"226","Baja California Sur","Agosto",66,2013,"masculino"
"227","Campeche","Agosto",80,2013,"masculino"
"228","Coahuila","Agosto",437,2013,"masculino"
"229","Colima","Agosto",79,2013,"masculino"
"230","Chiapas","Agosto",374,2013,"masculino"
"231","Chihuahua","Agosto",421,2013,"masculino"
"232","Distrito Federal","Agosto",1004,2013,"masculino"
"233","Durango","Agosto",253,2013,"masculino"
"234","Guanajuato","Agosto",429,2013,"masculino"
"235","Guerrero","Agosto",432,2013,"masculino"
"236","Hidalgo","Agosto",252,2013,"masculino"
"237","Jalisco","Agosto",757,2013,"masculino"
"238","Mexico","Agosto",1574,2013,"masculino"
"239","Michoacan","Agosto",414,2013,"masculino"
"240","Morelos","Agosto",374,2013,"masculino"
"241","Nayarit","Agosto",134,2013,"masculino"
"242","Nuevo Leon","Agosto",714,2013,"masculino"
"243","Oaxaca","Agosto",365,2013,"masculino"
"244","Puebla","Agosto",437,2013,"masculino"
"245","Queretaro","Agosto",131,2013,"masculino"
"246","Quintana Roo","Agosto",120,2013,"masculino"
"247","San Luis Potosi","Agosto",378,2013,"masculino"
"248","Sinaloa","Agosto",665,2013,"masculino"
"249","Sonora","Agosto",318,2013,"masculino"
"250","Tabasco","Agosto",242,2013,"masculino"
"251","Tamaulipas","Agosto",500,2013,"masculino"
"252","Tlaxcala","Agosto",110,2013,"masculino"
"253","Veracruz","Agosto",830,2013,"masculino"
"254","Yucatan","Agosto",190,2013,"masculino"
"255","Zacatecas","Agosto",115,2013,"masculino"
"256","Zacatecas","Agosto",130,2013,"masculino"
"257","Baja California","Septiembre",589,2013,"masculino"
"258","Baja California Sur","Septiembre",76,2013,"masculino"
"259","Campeche","Septiembre",85,2013,"masculino"
"260","Coahuila","Septiembre",435,2013,"masculino"
"261","Colima","Septiembre",67,2013,"masculino"
"262","Chiapas","Septiembre",333,2013,"masculino"
"263","Chihuahua","Septiembre",387,2013,"masculino"
"264","Distrito Federal","Septiembre",927,2013,"masculino"
"265","Durango","Septiembre",341,2013,"masculino"
"266","Guanajuato","Septiembre",406,2013,"masculino"
"267","Guerrero","Septiembre",340,2013,"masculino"
"268","Hidalgo","Septiembre",246,2013,"masculino"
"269","Jalisco","Septiembre",950,2013,"masculino"
"270","Mexico","Septiembre",1671,2013,"masculino"
"271","Michoacan","Septiembre",377,2013,"masculino"
"272","Morelos","Septiembre",389,2013,"masculino"
"273","Nayarit","Septiembre",91,2013,"masculino"
"274","Nuevo Leon","Septiembre",632,2013,"masculino"
"275","Oaxaca","Septiembre",365,2013,"masculino"
"276","Puebla","Septiembre",460,2013,"masculino"
"277","Queretaro","Septiembre",160,2013,"masculino"
"278","Quintana Roo","Septiembre",128,2013,"masculino"
"279","San Luis Potosi","Septiembre",349,2013,"masculino"
"280","Sinaloa","Septiembre",557,2013,"masculino"
"281","Sonora","Septiembre",319,2013,"masculino"
"282","Tabasco","Septiembre",242,2013,"masculino"
"283","Tamaulipas","Septiembre",428,2013,"masculino"
"284","Tlaxcala","Septiembre",101,2013,"masculino"
"285","Veracruz","Septiembre",720,2013,"masculino"
"286","Yucatan","Septiembre",163,2013,"masculino"
"287","Zacatecas","Septiembre",130,2013,"masculino"
"288","Zacatecas","Septiembre",165,2013,"masculino"
"289","Baja California","Octubre",775,2013,"masculino"
"290","Baja California Sur","Octubre",73,2013,"masculino"
