"","grupo","hombres","mujeres","suma_hombres_mujeres","general","coinciden","media"
"1","---1",0,0,0,0,TRUE,NA
"2","1---4",379,420,799,799,TRUE,2.496875
"3","5---9",552,613,1165,1165,TRUE,3.640625
"4","10---14",1257,1515,2772,2772,TRUE,7.875
"5","15---19",3132,5174,8306,8304,FALSE,23.5909090909091
"6","20---24",13405,24602,38007,38004,FALSE,107.965909090909
"7","25---44",376644,569725,946369,946490,FALSE,2688.89204545455
"8","45---49",239935,374638,614573,614718,FALSE,1746.35795454545
"9","50---59",505329,782654,1287983,1288175,FALSE,3659.58806818182
"10","60---64",250533,347598,598131,598398,FALSE,1699.99431818182
"11","65---",400208,558083,958291,958584,FALSE,2723.25
"12","desconocido",3946,6381,10327,10325,FALSE,29.3323863636364
